;;Female;;;Males;
Rank;;initial given name;number;;initial given name;number
1;;Maria;324.829;;Johannes;292.618
2;;Johanna;251.972;;Jan;178.735
3;;Anna;133.319;;Cornelis;128.020
4;;Elisabeth;106.644;;Hendrik;113.417
5;;Cornelia;106.321;;Willem;98.713
6;;Wilhelmina;92.835;;Petrus;82.180
7;;Catharina;81.353;;Pieter;79.921
8;;Hendrika;67.486;;Gerrit;71.716
9;;Adriana;66.218;;Peter;67.692
10;;Petronella;65.283;;Robert;66.943
11;;Margaretha;44.266;;Wilhelmus;66.151
12;;Yvonne;43.948;;Jacobus;61.193
13;;Monique;40.518;;Antonius;60.889
14;;Jacoba;40.479;;Gerardus;60.463
15;;Helena;38.989;;Adrianus;59.354
16;;Geertruida;36.944;;Franciscus;56.718
17;;Esther;34.483;;Hendrikus;51.354
18;;Ingrid;33.400;;Jeroen;49.549
19;;Anne;31.435;;Johan;48.694
20;;Linda;31.167;;Jacob;47.457
21;;Antonia;30.111;;Ronald;46.937
22;;Christina;29.740;;Marinus;46.041
23;;Sandra;29.718;;Dirk;45.921
24;;Elizabeth;28.854;;Thomas;42.722
25;;Sanne;28.122;;Theodorus;41.682
26;;Laura;26.925;;Martinus;41.624
27;;Theodora;26.604;;Dennis;37.431
28;;Kim;26.359;;Richard;36.927
29;;Aaltje;25.366;;Henricus;36.709
30;;Marianne;25.206;;Marcel;36.631
31;;Eva;24.285;;Mark;34.670
32;;Iris;23.900;;Patrick;32.972
33;;Karin;23.818;;Nicolaas;32.189
34;;Jolanda;23.817;;René;32.139
35;;Alida;23.764;;Tim;31.762
36;;Grietje;23.746;;Albert;31.217
37;;Lisa;22.972;;Martijn;30.396
38;;Jacqueline;22.646;;Paul;30.322
39;;Emma;21.267;;Arie;30.007
40;;Astrid;21.130;;Erik;29.348
41;;Saskia;21.127;;Maarten;28.871
42;;Jantje;20.998;;Alexander;27.981
43;;Bianca;20.975;;Michael;27.660
44;;Patricia;20.734;;Marco;27.351
45;;Trijntje;20.594;;Wouter;27.322
46;;Chantal;20.344;;Sander;27.092
47;;Wendy;19.949;;Daniël;26.588
48;;Judith;19.909;;Bart;26.548
49;;Petra;19.851;;Bernardus;26.237
50;;Anouk;19.797;;Niels;26.180
51;;Neeltje;19.671;;Frank;25.649
52;;Daniëlle;19.619;;Mohamed;25.163
53;;Geertje;19.495;;Paulus;24.930
54;;Lotte;19.368;;Daan;24.694
55;;Janna;19.304;;Tom;24.097
56;;Femke;19.162;;Kevin;23.997
57;;Maaike;19.077;;Robin;23.583
58;;Nicole;18.906;;Christiaan;23.532
59;;Julia;18.873;;Leonardus;23.348
60;;Ellen;17.765;;Klaas;23.229
61;;Sophie;17.728;;Michel;23.175
62;;Antje;17.547;;Ruben;22.377
63;;Anita;17.493;;Albertus;22.363
64;;Sylvia;17.450;;Edwin;22.279
65;;Joyce;17.372;;Lucas;22.201
66;;Ilse;17.253;;Bram;21.857
67;;Miranda;16.817;;David;21.796
68;;Francisca;16.781;;Lars;21.573
69;;Charlotte;16.609;;Thijs;21.488
70;;Suzanne;16.484;;Roy;21.310
71;;Marieke;16.435;;Hans;21.261
72;;Simone;16.311;;Frederik;21.200
73;;Fleur;16.103;;Stefan;20.784
74;;Gerarda;16.099;;Martin;20.693
75;;Willemina;16.034;;Rudolf;20.281
76;;Marijke;15.937;;Jasper;20.093
77;;Louise;15.903;;Adriaan;20.022
78;;Jannetje;15.768;;Leendert;19.964
79;;Irene;15.650;;Eric;19.938
